id,name,set,set_name,mana_cost,colors,type,super_type,rarity
435394,Dusk Legion Dreadnought,XLN,Ixalan,{5},,Artifact — Vehicle,,Uncommon
435395,Elaborate Firecannon,XLN,Ixalan,{2},,Artifact,,Uncommon
435396,Fell Flagship,XLN,Ixalan,{3},,Artifact — Vehicle,,Rare
435397,Gilded Sentinel,XLN,Ixalan,{4},,Artifact Creature — Golem,,Common
435398,Hierophant's Chalice,XLN,Ixalan,{3},,Artifact,,Common
435399,Pillar of Origins,XLN,Ixalan,{2},,Artifact,,Uncommon
435400,Pirate's Cutlass,XLN,Ixalan,{3},,Artifact — Equipment,,Common
435401,Primal Amulet,XLN,Ixalan,{4},,Artifact,,Rare
435402,Primal Wellspring,XLN,Ixalan,,,Land,,Rare
435403,Prying Blade,XLN,Ixalan,{1},,Artifact — Equipment,,Common
435404,Sentinel Totem,XLN,Ixalan,{1},,Artifact,,Uncommon
435405,Shadowed Caravel,XLN,Ixalan,{2},,Artifact — Vehicle,,Rare
435406,Sleek Schooner,XLN,Ixalan,{3},,Artifact — Vehicle,,Uncommon
435407,Sorcerous Spyglass,XLN,Ixalan,{2},,Artifact,,Rare
435408,Thaumatic Compass,XLN,Ixalan,{2},,Artifact,,Rare
435409,Spires of Orazca,XLN,Ixalan,,,Land,,Rare
435410,Treasure Map,XLN,Ixalan,{2},,Artifact,,Rare
435411,Treasure Cove,XLN,Ixalan,,,Land,,Rare
435412,Vanquisher's Banner,XLN,Ixalan,{5},,Artifact,,Rare
435413,Dragonskull Summit,XLN,Ixalan,,,Land,,Rare
435414,Drowned Catacomb,XLN,Ixalan,,,Land,,Rare
435415,Field of Ruin,XLN,Ixalan,,,Land,,Uncommon
435416,Glacial Fortress,XLN,Ixalan,,,Land,,Rare
435417,Rootbound Crag,XLN,Ixalan,,,Land,,Rare
435418,Sunpetal Grove,XLN,Ixalan,,,Land,,Rare
435419,Unclaimed Territory,XLN,Ixalan,,,Land,,Uncommon
435420,Unknown Shores,XLN,Ixalan,,,Land,,Common
435421,Plains,XLN,Ixalan,,,Basic Land — Plains,['Basic'],Basic Land
435422,Plains,XLN,Ixalan,,,Basic Land — Plains,['Basic'],Basic Land
435423,Plains,XLN,Ixalan,,,Basic Land — Plains,['Basic'],Basic Land
435424,Plains,XLN,Ixalan,,,Basic Land — Plains,['Basic'],Basic Land
435425,Island,XLN,Ixalan,,,Basic Land — Island,['Basic'],Basic Land
435426,Island,XLN,Ixalan,,,Basic Land — Island,['Basic'],Basic Land
435427,Island,XLN,Ixalan,,,Basic Land — Island,['Basic'],Basic Land
435428,Island,XLN,Ixalan,,,Basic Land — Island,['Basic'],Basic Land
435429,Swamp,XLN,Ixalan,,,Basic Land — Swamp,['Basic'],Basic Land
435430,Swamp,XLN,Ixalan,,,Basic Land — Swamp,['Basic'],Basic Land
435431,Swamp,XLN,Ixalan,,,Basic Land — Swamp,['Basic'],Basic Land
435432,Swamp,XLN,Ixalan,,,Basic Land — Swamp,['Basic'],Basic Land
435433,Mountain,XLN,Ixalan,,,Basic Land — Mountain,['Basic'],Basic Land
435434,Mountain,XLN,Ixalan,,,Basic Land — Mountain,['Basic'],Basic Land
435435,Mountain,XLN,Ixalan,,,Basic Land — Mountain,['Basic'],Basic Land
435436,Mountain,XLN,Ixalan,,,Basic Land — Mountain,['Basic'],Basic Land
435437,Forest,XLN,Ixalan,,,Basic Land — Forest,['Basic'],Basic Land
435438,Forest,XLN,Ixalan,,,Basic Land — Forest,['Basic'],Basic Land
435439,Forest,XLN,Ixalan,,,Basic Land — Forest,['Basic'],Basic Land
435440,Forest,XLN,Ixalan,,,Basic Land — Forest,['Basic'],Basic Land
